month,brand,market_share,avg_price,growth_rate
2023-01,BrandA,41.74,40.15,2.23
2023-01,BrandB,8.21,35.63,1.04
2023-01,BrandC,7.34,40.79,0.28
2023-01,BrandD,26.57,44.63,-0.93
2023-01,BrandE,6.13,49.04,0.82
2023-01,BrandF,2.08,34.89,1.17
2023-01,BrandG,4.69,40.14,-1.03
2023-01,BrandH,3.23,35.04,-1.12
2023-02,BrandA,7.11,41.6,1.09
2023-02,BrandB,23.86,37.7,1.69
2023-02,BrandC,8.89,31.55,-1.4
2023-02,BrandD,1.14,31.99,-0.75
2023-02,BrandE,0.89,37.04,-0.47
2023-02,BrandF,3.96,35.71,-0.58
2023-02,BrandG,4.44,42.53,1.39
2023-02,BrandH,49.7,30.14,-0.68
2023-03,BrandA,8.13,39.61,-0.57
2023-03,BrandB,4.12,48.27,-0.1
2023-03,BrandC,8.37,49.31,0.17
2023-03,BrandD,20.99,47.04,0.63
2023-03,BrandE,27.82,44.05,1.22
2023-03,BrandF,6.79,39.4,0.1
2023-03,BrandG,1.65,45.74,0.3
2023-03,BrandH,22.12,48.7,0.49
2023-04,BrandA,15.45,34.93,-0.38
2023-04,BrandB,5.23,42.77,0.59
2023-04,BrandC,16.82,33.98,1.05
2023-04,BrandD,16.0,47.39,0.56
2023-04,BrandE,6.17,42.38,0.86
2023-04,BrandF,23.43,43.4,-1.29
2023-04,BrandG,3.41,42.38,0.67
2023-04,BrandH,13.48,38.29,-0.9
2023-05,BrandA,7.14,35.39,0.17
2023-05,BrandB,14.05,48.33,0.41
2023-05,BrandC,12.66,42.85,-0.53
2023-05,BrandD,2.64,42.67,-0.78
2023-05,BrandE,0.02,43.59,0.71
2023-05,BrandF,22.87,43.08,0.26
2023-05,BrandG,14.24,33.3,-0.53
2023-05,BrandH,26.39,49.03,1.03
2023-06,BrandA,0.87,44.58,0.68
2023-06,BrandB,9.66,35.85,-0.06
2023-06,BrandC,2.48,40.32,1.04
2023-06,BrandD,35.92,49.43,-0.6
2023-06,BrandE,0.46,32.32,0.45
2023-06,BrandF,18.44,40.84,1.28
2023-06,BrandG,27.63,42.4,0.65
2023-06,BrandH,4.53,40.07,0.89
2023-07,BrandA,0.37,43.31,-0.73
2023-07,BrandB,6.46,34.19,0.46
2023-07,BrandC,28.76,48.8,3.08
2023-07,BrandD,10.83,32.52,0.25
2023-07,BrandE,6.06,49.47,-0.25
2023-07,BrandF,0.87,47.63,-1.25
2023-07,BrandG,43.35,44.05,-0.08
2023-07,BrandH,3.3,32.71,0.07
2023-08,BrandA,12.19,33.0,-1.17
2023-08,BrandB,14.43,34.03,0.5
2023-08,BrandC,16.1,34.42,1.25
2023-08,BrandD,1.68,46.5,-1.67
2023-08,BrandE,1.0,44.54,-0.06
2023-08,BrandF,24.03,30.63,-0.93
2023-08,BrandG,4.35,41.4,1.03
2023-08,BrandH,26.24,32.48,0.9
2023-09,BrandA,18.04,37.36,0.01
2023-09,BrandB,55.79,49.49,0.31
2023-09,BrandC,5.33,30.24,0.26
2023-09,BrandD,1.95,38.68,0.16
2023-09,BrandE,7.82,36.83,1.15
2023-09,BrandF,2.86,48.37,0.76
2023-09,BrandG,1.58,48.24,0.07
2023-09,BrandH,6.62,36.2,0.26
2023-10,BrandA,8.5,48.43,-0.23
2023-10,BrandB,9.16,49.59,0.31
