customer_id,join_date,segment,orders,clv,satisfaction,churn_flag
C00001,2024-01-08,Low Value,2,90.78,3.76,1
C00002,2024-08-19,High Value,4,1815.07,4.02,0
C00003,2024-10-16,Low Value,1,49.28,4.84,1
C00004,2024-05-24,Mid Value,6,568.9,3.15,0
C00005,2024-11-27,High Value,7,1480.48,3.82,0
C00006,2024-10-13,Low Value,2,99.48,3.15,0
C00007,2023-01-05,Mid Value,4,482.97,5.0,0
C00008,2023-03-17,Low Value,3,132.54,2.8,0
C00009,2024-05-07,Mid Value,3,350.07,4.74,0
C00010,2024-09-03,High Value,7,2442.15,4.42,0
C00011,2023-03-15,Low Value,3,160.69,3.65,1
C00012,2024-03-30,Mid Value,5,487.62,3.31,0
C00013,2024-11-03,High Value,4,1564.33,3.81,0
C00014,2023-06-22,Mid Value,5,818.38,3.15,0
C00015,2023-08-20,Mid Value,5,635.34,4.69,0
C00016,2023-04-20,Low Value,1,30.9,3.92,0
C00017,2023-01-20,Mid Value,4,498.42,4.79,0
C00018,2024-10-18,Low Value,2,131.29,4.03,1
C00019,2024-06-01,Low Value,4,240.92,2.45,1
C00020,2024-04-09,Mid Value,3,440.82,3.87,0
C00021,2024-02-09,Low Value,5,207.49,3.75,0
C00022,2023-12-03,High Value,7,2595.52,3.53,0
C00023,2024-02-09,High Value,8,2103.21,4.45,0
C00024,2023-05-17,Low Value,2,100.96,2.08,0
C00025,2024-06-25,Low Value,1,46.2,3.25,0
C00026,2024-11-02,Low Value,1,57.0,3.47,1
C00027,2024-05-08,Low Value,1,41.81,3.28,1
C00028,2024-12-08,Low Value,5,305.0,4.11,0
C00029,2023-08-26,Mid Value,3,324.96,4.46,0
C00030,2023-10-28,Mid Value,3,196.61,3.2,0
C00031,2023-05-23,Mid Value,3,367.62,4.22,0
C00032,2024-01-08,Low Value,1,51.88,2.9,0
C00033,2024-12-19,High Value,5,2476.72,3.0,0
C00034,2024-07-20,Mid Value,3,384.52,4.61,0
C00035,2024-07-06,Low Value,2,118.35,4.3,0
C00036,2024-05-30,Low Value,2,135.03,4.55,0
C00037,2023-01-08,High Value,3,918.57,4.45,0
C00038,2023-06-13,Mid Value,5,739.52,4.06,0
C00039,2024-12-16,Mid Value,3,406.07,3.69,0
C00040,2023-11-22,Mid Value,3,315.52,3.81,0
C00041,2024-08-12,Low Value,2,77.63,3.37,0
C00042,2024-07-10,Low Value,2,96.0,3.11,0
C00043,2024-08-30,Low Value,1,43.56,4.3,1
C00044,2024-12-01,High Value,5,2069.82,4.11,0
C00045,2024-03-28,Mid Value,5,392.13,4.04,0
C00046,2024-12-06,Low Value,7,307.67,3.34,0
C00047,2023-11-22,Low Value,1,50.33,4.65,0
C00048,2024-10-19,Mid Value,7,831.67,3.83,1
C00049,2024-11-08,Mid Value,5,584.45,4.66,1
C00050,2023-10-12,Low Value,2,97.16,4.0,0
C00051,2024-05-31,Low Value,3,111.95,3.31,0
C00052,2023-10-02,Low Value,3,157.54,3.3,0
C00053,2024-08-07,Low Value,2,102.06,3.5,0
C00054,2024-09-04,Low Value,1,41.88,3.69,0
C00055,2023-04-17,Mid Value,2,311.14,3.51,0
C00056,2024-03-26,Low Value,3,149.2,2.84,0
C00057,2023-09-10,Mid Value,2,241.93,3.82,0
C00058,2024-08-15,Mid Value,6,763.73,4.13,0
C00059,2023-03-10,Low Value,4,268.36,2.37,0
C00060,2024-03-31,High Value,9,2115.69,4.5,0
C00061,2024-12-03,Low Value,1,37.04,4.26,0
C00062,2024-07-06,Mid Value,2,326.87,2.87,0
C00063,2024-05-03,High Value,7,2267.57,4.78,0
C00064,2024-03-05,High Value,8,2331.26,3.48,0
C00065,2024-01-24,Low Value,2,99.07,1.86,0
C00066,2023-11-06,Low Value,2,121.34,4.64,0
C00067,2024-01-08,Mid Value,8,820.09,4.93,0
C00068,2023-06-02,High Value,10,2985.97,4.28,0
C00069,2023-08-24,High Value,7,2573.03,4.5,0
C00070,2023-07-21,Mid Value,8,1097.06,3.48,0
C00071,2023-07-11,Mid Value,5,727.02,5.0,0
C00072,2023-04-27,Mid Value,4,389.32,3.67,0
C00073,2023-05-13,Mid Value,2,228.08,3.62,0
C00074,2023-06-04,Low Value,1,38.18,4.01,0
