date,product,region,quantity,price,revenue,cost,profit
2023-01-01,Alpha Shirt,North,23,197.66,4546.18,2695.78,1850.4
2023-01-01,Alpha Shirt,South,21,195.31,4101.51,2527.67,1573.84
2023-01-01,Alpha Shirt,East,15,202.42,3036.3,1647.5,1388.8
2023-01-01,Alpha Shirt,West,19,189.87,3607.53,2198.53,1409.0
2023-01-01,Beta Jeans,North,12,160.99,1931.88,1146.04,785.84
2023-01-01,Beta Jeans,South,11,145.92,1605.12,968.41,636.71
2023-01-01,Beta Jeans,East,16,145.5,2328.0,1376.43,951.57
2023-01-01,Beta Jeans,West,17,149.9,2548.3,1448.12,1100.18
2023-01-01,Gamma Jacket,North,15,181.88,2728.2,1476.53,1251.67
2023-01-01,Gamma Jacket,South,19,186.65,3546.35,2146.04,1400.31
2023-01-01,Gamma Jacket,East,11,178.96,1968.56,1163.35,805.21
2023-01-01,Gamma Jacket,West,17,175.85,2989.45,1888.48,1100.97
2023-01-01,Delta Shoes,North,19,223.56,4247.64,2499.51,1748.13
2023-01-01,Delta Shoes,South,26,231.34,6014.84,3776.95,2237.89
2023-01-01,Delta Shoes,East,26,210.77,5480.02,3237.18,2242.84
2023-01-01,Delta Shoes,West,28,214.73,6012.44,3573.98,2438.46
2023-01-01,Epsilon Hat,North,11,69.52,764.72,477.69,287.03
2023-01-01,Epsilon Hat,South,2,74.32,148.64,93.83,54.81
2023-01-01,Epsilon Hat,East,7,82.01,574.07,364.39,209.68
2023-01-01,Epsilon Hat,West,10,81.18,811.8,493.44,318.36
2023-01-02,Alpha Shirt,North,19,196.57,3734.83,2151.01,1583.82
2023-01-02,Alpha Shirt,South,29,218.86,6346.94,3841.41,2505.53
2023-01-02,Alpha Shirt,East,32,180.81,5785.92,3466.95,2318.97
2023-01-02,Alpha Shirt,West,17,200.6,3410.2,2298.12,1112.08
2023-01-02,Beta Jeans,North,7,148.56,1039.92,633.36,406.56
2023-01-02,Beta Jeans,South,10,158.57,1585.7,987.19,598.51
2023-01-02,Beta Jeans,East,12,160.52,1926.24,1074.73,851.51
2023-01-02,Beta Jeans,West,17,142.57,2423.69,1413.04,1010.65
2023-01-02,Gamma Jacket,North,20,166.04,3320.8,1999.31,1321.49
2023-01-02,Gamma Jacket,South,20,171.73,3434.6,2220.46,1214.14
2023-01-02,Gamma Jacket,East,26,172.95,4496.7,2654.57,1842.13
2023-01-02,Gamma Jacket,West,15,182.05,2730.75,1745.53,985.22
2023-01-02,Delta Shoes,North,22,222.86,4902.92,3056.75,1846.17
2023-01-02,Delta Shoes,South,20,225.74,4514.8,2749.1,1765.7
2023-01-02,Delta Shoes,East,24,223.22,5357.28,3099.56,2257.72
2023-01-02,Delta Shoes,West,23,206.9,4758.7,2948.95,1809.75
2023-01-02,Epsilon Hat,North,9,76.44,687.96,395.94,292.02
2023-01-02,Epsilon Hat,South,11,75.72,832.92,511.81,321.11
2023-01-02,Epsilon Hat,East,11,78.21,860.31,538.29,322.02
2023-01-02,Epsilon Hat,West,8,84.23,673.84,405.34,268.5
2023-01-03,Alpha Shirt,North,24,190.41,4569.84,2931.37,1638.47
2023-01-03,Alpha Shirt,South,17,203.04,3451.68,2097.64,1354.04
2023-01-03,Alpha Shirt,East,28,214.37,6002.36,3602.73,2399.63
2023-01-03,Alpha Shirt,West,22,202.32,4451.04,2694.15,1756.89
2023-01-03,Beta Jeans,North,13,151.24,1966.12,1129.19,836.93
2023-01-03,Beta Jeans,South,16,146.89,2350.24,1415.8,934.44
2023-01-03,Beta Jeans,East,13,161.7,2102.1,1269.37,832.73
2023-01-03,Beta Jeans,West,11,167.92,1847.12,1210.42,636.7
2023-01-03,Gamma Jacket,North,20,180.14,3602.8,2209.46,1393.34
2023-01-03,Gamma Jacket,South,16,176.0,2816.0,1548.59,1267.41
2023-01-03,Gamma Jacket,East,11,173.05,1903.55,1237.0,666.55
2023-01-03,Gamma Jacket,West,13,182.86,2377.18,1311.33,1065.85
2023-01-03,Delta Shoes,North,25,224.15,5603.75,3639.86,1963.89
2023-01-03,Delta Shoes,South,24,211.96,5087.04,2856.89,2230.15
2023-01-03,Delta Shoes,East,26,217.39,5652.14,3708.71,1943.43
2023-01-03,Delta Shoes,West,15,205.76,3086.4,1842.11,1244.29
2023-01-03,Epsilon Hat,North,8,76.07,608.56,373.57,234.99
2023-01-03,Epsilon Hat,South,6,77.54,465.24,308.61,156.63
2023-01-03,Epsilon Hat,East,7,78.05,546.35,331.21,215.14
2023-01-03,Epsilon Hat,West,5,83.81,419.05,269.69,149.36
2023-01-04,Alpha Shirt,North,26,193.7,5036.2,3154.19,1882.01
2023-01-04,Alpha Shirt,South,15,182.12,2731.8,1539.05,1192.75
2023-01-04,Alpha Shirt,East,24,215.53,5172.72,3035.43,2137.29
2023-01-04,Alpha Shirt,West,24,200.12,4802.88,3015.86,1787.02
2023-01-04,Beta Jeans,North,19,148.21,2815.99,1761.74,1054.25
2023-01-04,Beta Jeans,South,9,164.34,1479.06,934.7,544.36
2023-01-04,Beta Jeans,East,15,159.04,2385.6,1345.72,1039.88
2023-01-04,Beta Jeans,West,18,144.76,2605.68,1562.72,1042.96
2023-01-04,Gamma Jacket,North,19,177.22,3367.18,2101.51,1265.67
2023-01-04,Gamma Jacket,South,12,185.52,2226.24,1426.43,799.81
2023-01-04,Gamma Jacket,East,12,176.1,2113.2,1280.84,832.36
2023-01-04,Gamma Jacket,West,11,190.39,2094.29,1226.58,867.71
2023-01-04,Delta Shoes,North,26,197.59,5137.34,3324.38,1812.96
2023-01-04,Delta Shoes,South,30,216.67,6500.1,3899.17,2600.93
2023-01-04,Delta Shoes,East,22,233.98,5147.56,3207.58,1939.98
2023-01-04,Delta Shoes,West,20,216.22,4324.4,2654.02,1670.38
2023-01-04,Epsilon Hat,North,5,81.89,409.45,246.34,163.11
2023-01-04,Epsilon Hat,South,11,74.19,816.09,508.85,307.24
2023-01-04,Epsilon Hat,East,9,82.29,740.61,465.93,274.68
2023-01-04,Epsilon Hat,West,10,84.72,847.2,496.4,350.8
2023-01-05,Alpha Shirt,North,22,198.85,4374.7,2787.27,1587.43
2023-01-05,Alpha Shirt,South,19,200.05,3800.95,2285.93,1515.02
2023-01-05,Alpha Shirt,East,26,189.32,4922.32,2932.37,1989.95
2023-01-05,Alpha Shirt,West,31,207.12,6420.72,3635.8,2784.92
2023-01-05,Beta Jeans,North,17,152.49,2592.33,1497.19,1095.14
2023-01-05,Beta Jeans,South,15,158.84,2382.6,1434.39,948.21
2023-01-05,Beta Jeans,East,16,148.13,2370.08,1491.13,878.95
2023-01-05,Beta Jeans,West,10,154.84,1548.4,992.62,555.78
2023-01-05,Gamma Jacket,North,21,189.53,3980.13,2178.08,1802.05
2023-01-05,Gamma Jacket,South,17,177.58,3018.86,1876.3,1142.56
2023-01-05,Gamma Jacket,East,18,194.66,3503.88,1957.26,1546.62
2023-01-05,Gamma Jacket,West,18,183.46,3302.28,1978.13,1324.15
2023-01-05,Delta Shoes,North,22,205.65,4524.3,2805.47,1718.83
2023-01-05,Delta Shoes,South,14,224.03,3136.42,1793.42,1343.0
2023-01-05,Delta Shoes,East,17,219.31,3728.27,2343.79,1384.48
2023-01-05,Delta Shoes,West,25,214.17,5354.25,3085.19,2269.06
2023-01-05,Epsilon Hat,North,4,80.23,320.92,170.57,150.35
2023-01-05,Epsilon Hat,South,7,83.41,583.87,339.46,244.41
2023-01-05,Epsilon Hat,East,9,83.41,750.69,428.16,322.53
2023-01-05,Epsilon Hat,West,8,77.41,619.28,351.47,267.81
2023-01-06,Alpha Shirt,North,22,199.92,4398.24,2834.22,1564.02
2023-01-06,Alpha Shirt,South,13,215.23,2797.99,1724.03,1073.96
2023-01-06,Alpha Shirt,East,19,191.24,3633.56,2029.4,1604.16
2023-01-06,Alpha Shirt,West,22,186.01,4092.22,2524.45,1567.77
2023-01-06,Beta Jeans,North,9,145.12,1306.08,764.56,541.52
2023-01-06,Beta Jeans,South,11,150.36,1653.96,951.15,702.81
2023-01-06,Beta Jeans,East,10,145.67,1456.7,907.03,549.67
2023-01-06,Beta Jeans,West,11,150.74,1658.14,1032.26,625.88
2023-01-06,Gamma Jacket,North,19,174.04,3306.76,2040.66,1266.1
2023-01-06,Gamma Jacket,South,16,165.35,2645.6,1591.18,1054.42
2023-01-06,Gamma Jacket,East,12,185.75,2229.0,1226.29,1002.71
2023-01-06,Gamma Jacket,West,13,174.13,2263.69,1361.43,902.26
2023-01-06,Delta Shoes,North,20,231.07,4621.4,2692.86,1928.54
2023-01-06,Delta Shoes,South,19,225.83,4290.77,2760.03,1530.74
2023-01-06,Delta Shoes,East,22,226.35,4979.7,2957.49,2022.21
2023-01-06,Delta Shoes,West,16,220.95,3535.2,2104.61,1430.59
2023-01-06,Epsilon Hat,North,7,81.16,568.12,376.24,191.88
2023-01-06,Epsilon Hat,South,10,79.04,790.4,493.76,296.64
2023-01-06,Epsilon Hat,East,10,80.73,807.3,490.39,316.91
2023-01-06,Epsilon Hat,West,5,81.92,409.6,249.86,159.74
2023-01-07,Alpha Shirt,North,18,197.3,3551.4,2026.56,1524.84
2023-01-07,Alpha Shirt,South,25,207.57,5189.25,2969.99,2219.26
2023-01-07,Alpha Shirt,East,24,204.13,4899.12,3215.31,1683.81
2023-01-07,Alpha Shirt,West,17,182.21,3097.57,1997.57,1100.0
2023-01-07,Beta Jeans,North,11,168.34,1851.74,1118.22,733.52
2023-01-07,Beta Jeans,South,23,153.61,3533.03,2143.55,1389.48
2023-01-07,Beta Jeans,East,18,164.12,2954.16,1891.73,1062.43
2023-01-07,Beta Jeans,West,14,142.58,1996.12,1190.14,805.98
2023-01-07,Gamma Jacket,North,13,180.5,2346.5,1484.93,861.57
2023-01-07,Gamma Jacket,South,20,178.58,3571.6,2097.22,1474.38
2023-01-07,Gamma Jacket,East,23,170.89,3930.47,2163.15,1767.32
2023-01-07,Gamma Jacket,West,19,168.39,3199.41,1795.34,1404.07
2023-01-07,Delta Shoes,North,26,217.14,5645.64,3132.8,2512.84
2023-01-07,Delta Shoes,South,16,190.33,3045.28,1822.21,1223.07
2023-01-07,Delta Shoes,East,30,240.34,7210.2,4569.8,2640.4
2023-01-07,Delta Shoes,West,17,248.31,4221.27,2540.26,1681.01
2023-01-07,Epsilon Hat,North,6,90.28,541.68,307.02,234.66
2023-01-07,Epsilon Hat,South,7,81.16,568.12,336.53,231.59
2023-01-07,Epsilon Hat,East,6,83.74,502.44,320.63,181.81
2023-01-07,Epsilon Hat,West,4,80.39,321.56,191.68,129.88
2023-01-08,Alpha Shirt,North,16,196.49,3143.84,1864.69,1279.15
2023-01-08,Alpha Shirt,South,17,202.35,3439.95,2090.05,1349.9
2023-01-08,Alpha Shirt,East,19,193.43,3675.17,2101.75,1573.42
2023-01-08,Alpha Shirt,West,27,183.3,4949.1,3231.47,1717.63
2023-01-08,Beta Jeans,North,13,159.87,2078.31,1137.68,940.63
2023-01-08,Beta Jeans,South,12,159.35,1912.2,1022.84,889.36
2023-01-08,Beta Jeans,East,15,157.29,2359.35,1413.42,945.93
2023-01-08,Beta Jeans,West,19,166.16,3157.04,1957.89,1199.15
2023-01-08,Gamma Jacket,North,15,168.4,2526.0,1523.24,1002.76
2023-01-08,Gamma Jacket,South,15,165.33,2479.95,1529.03,950.92
2023-01-08,Gamma Jacket,East,19,175.78,3339.82,2056.69,1283.13
2023-01-08,Gamma Jacket,West,20,170.97,3419.4,2103.99,1315.41
2023-01-08,Delta Shoes,North,30,224.22,6726.6,3557.75,3168.85
2023-01-08,Delta Shoes,South,12,216.17,2594.04,1571.88,1022.16
2023-01-08,Delta Shoes,East,24,203.24,4877.76,2809.82,2067.94
2023-01-08,Delta Shoes,West,20,226.31,4526.2,2477.61,2048.59
2023-01-08,Epsilon Hat,North,7,79.98,559.86,324.85,235.01
2023-01-08,Epsilon Hat,South,8,82.83,662.64,386.4,276.24
2023-01-08,Epsilon Hat,East,9,80.71,726.39,406.73,319.66
2023-01-08,Epsilon Hat,West,11,81.72,898.92,544.95,353.97
2023-01-09,Alpha Shirt,North,16,189.19,3027.04,1911.86,1115.18
2023-01-09,Alpha Shirt,South,30,200.28,6008.4,3610.4,2398.0
2023-01-09,Alpha Shirt,East,18,200.96,3617.28,2120.2,1497.08
2023-01-09,Alpha Shirt,West,17,202.22,3437.74,2013.27,1424.47
2023-01-09,Beta Jeans,North,13,148.6,1931.8,1133.6,798.2
2023-01-09,Beta Jeans,South,16,157.74,2523.84,1401.82,1122.02
2023-01-09,Beta Jeans,East,21,150.62,3163.02,1998.92,1164.1
